dialogue,label,user
That was an intelligent comment.,Pam,Harsh
Yes.,Michael,Harsh
"Hey, Andy. You know I've been thinkin about what you said-",Angela,Harsh
Okay.,Michael,Harsh
"Zip it, Meredith.",Kelly,Harsh
"I can’t take you, I don’t have my car and yours is all vomity.",Michael,Harsh
"Oh, Michael. You can't be nasty today. 'Cause of the...",Oscar,Harsh
"That's my white out. Get your own white out. Just... what's the matter with you? God. Okay, um, there was a girl from Dunder Mifflin. Who had a big, puttifflin. Mifflin, spifflin.",Michael,Harsh
"Okay fine. Ryan, something the matter?",Michael,Harsh
Ow!,Michael,Harsh
Oh God. Stuck with the weirdo.,Michael,Harsh
That was a good one.,Jim,Harsh
"Phyllis, you guys are like my closest friends. I just mean I don’t like-like you.",Michael,Harsh
Michael! Michael. Michael ...,Dwight,Harsh
"OK, fine. You win. Jim, you win. We have been battling for a long time, but you know what? You win, cause you are the winner, you are the alpha male, there you go. Alpha male, go buy your wife a pie. Go buy the whole world a pie.",Dwight,Harsh
…I’m messing with Andy. I’m sending him to all the women in the office with… just… terrible information on how to get them to go out with him.,Jim,Harsh
Not at all.,Dwight,Harsh
"I think... I mean, I don't know what it is but...",Angela,Harsh
Nothing! Nothing is going on. Keep moving please.,Michael,Harsh
Stupid. Everyone knows to ask for a hundred more wishes. Dumb.,Dwight,Harsh
How is this a pizza party?,Jim,Harsh
God... Damn it! Why us?,Angela,Harsh
I— Ok. How much is this going to cost?,Michael,Harsh
"Hi, is it over?",Michael,Harsh
"Can't we all get along? No, we can't. But here's the thing: yes, we can. Well, why not? Because of differeneces. Well, can we overcome these differences? No. Can we find each other and connect with each other in spite of these differences? No, we can't. But, we have to try and that is why I created the Integration Celebration.",Michael,Harsh
Jelly beans.,Dwight,Harsh
They used to call me King Tut because I’m so good at keeping things under wraps.,Michael,Harsh
"Yeah, butĂ˘â‚¬Â¦ My friend Jim would tell you to play it cool.",Dwight,Harsh
Mmhmm.,Michael,Harsh
I finished my laundry. Got all my socks. Nothing like that time that crazy guy pushed you.,Stanley,Harsh
Wh--what are you doing?,Michael,Harsh
I don’t need a gun.,Dwight,Harsh
Really? Wow... that's bad.,Kelly,Harsh
I will! I will take all of those dogs!,Michael,Harsh
Gyaaah. T.M.I. T.M.I my friends.,Michael,Harsh
"Well, I think we all know what you’re capable of Meredith.",Angela,Harsh
"Well, we had the Scranton White Pages.",Oscar,Harsh
Oh. Thank God.,Michael,Harsh
"Wha... here's the thing, Jim is the best man for this job, I think you should give it to him.",Dwight,Harsh
"Hey, it's the kid! Look, look, look, look, look! Hey! It's the temp! Look!",Oscar,Harsh
Was it?,Michael,Harsh
"Okay, but we are leaving at five minutes apart.",Jim,Harsh
They were stolen?,Michael,Harsh
"The best salesman ever. He works for Osprey Paper over in Throop, steals more clients from Dunder-Mifflin than anyone.",Michael,Harsh
Those aren't... themes. There's always a theme.,Meredith,Harsh
"You don't hear a theme, you see it... why is there a chicklet on my cake?",Meredith,Harsh
"No, no, no. Don't turn this into a political thing.",Michael,Harsh
"Well, technically, I’m a co-manager, and I barely have any responsibilities, but I work hard, I love this company, and for those reasons, I think I would make a good employee of the month.",Dwight,Harsh
"There's a decision that needs to be made, and I'm having an unbelievably a busy day. So I'm going to let you pick a health care plan for our office and then explain it to your co-workers.",Michael,Harsh
I can't see.,Dwight,Harsh
Yep.,Michael,Harsh
Hey!,Michael,Harsh
So we basically had no privacy for ten years.,Oscar,Harsh
Oh...,Michael,Harsh
"You're right, forget horse hunting. It's stupid.",Michael,Harsh
I don't know man. I was with Jan for so long. I was excited about meeting somebody new. Put my heart out there. It's just...,Michael,Harsh
We can do this with more privacy.,Pam,Harsh
"We at Sabre have betrayed the trust that we have built with our customers. We regret our slow response and our lapse in candor and judgment. At this time, we are issuing a full recall of all Sabre GH400 printers. We will not rest until this problem is solved. There will be no questions. Are there any questions?",Kelly,Harsh
That…,Michael,Harsh
"Michael, you know, it's easy to get fooled. Bob's warehouse guys flirt with me all the time. It... it's mostly harmless. Usually I don't let it go too far.",Phyllis,Harsh
You've gotta be kidding me.,Michael,Harsh
Really? Do you wanna get back to that? I could go. I should go.,Pam,Harsh
"It’s OK. I can’t always have what I want, but I can always want what I have.",Michael,Harsh
nan,Michael,Harsh
Hey! Hey. Happy birthday.,Michael,Harsh
Us.,Michael,Harsh
"Um, hi. How are you?",Pam,Harsh
"I still like you, but you were gone a really long time. And, you didn’t really email me all that much. You retweeted me, a lot to be fair. But I don’t love you.",Angela,Harsh
"You know, my grandfather told me there was a monster here that eats Catholics. Have you heard...",Andy,Harsh
"Yeah right. It’s in Stamford, Connecticut. We have to leave like right now.",Andy,Harsh
I wanna do this.,Michael,Harsh
"Hello, is this R. Gould? Hi there. My name is Michael Scott, I work at Dunder Mifflin. I believe I work with your wife, ex-wife, Jan. Yeah, that's right, yes. Um... I was wondering if I could ask a personal question about her. Mmm-hmm. Okay, well, could I ask anyway? Uh-huh. Well, I'm just gonna ask. When you guys were dating was she sort of easy to get and then really hard to get?",Michael,Harsh
"No Michael here, my name is-",Michael,Harsh
"That's a really... well fine, Do the German instructions say what this is supposed to do?",Michael,Harsh
"Oh, good.",Michael,Harsh
"Um, What the hell?",Michael,Harsh
Michael?,Dwight,Harsh
Who makes it?,Andy,Harsh
"I'm creative, Ryan.",Michael,Harsh
False. Black bear.,Jim,Harsh
All right!,Dwight,Harsh
"Ah, just the battery on these things. I’m sorry, I’ve got to recharge this.",Dwight,Harsh
Big…,Michael,Harsh
It's Grotti. He's following up.,Michael,Harsh
Nope.,Michael,Harsh
"Right. And did you show them the market? Yeah. And what’d they say? That’s awesome! That, oh my god! Wow!",Michael,Harsh
"Hey, what is this?",Erin,Harsh
"No, no one has RSVP'ed, and I don't understand it, and now, you're shutting me out. You're not even listening. That's really considerate. Thank you.",Pam,Harsh
That is not-- okay-- that is day-to-day.,Angela,Harsh
I at the Bermuda Triangle. An- M- please don't call again.,Michael,Harsh
"ItĂ˘â‚¬â„˘s a little, uh, personal.",Michael,Harsh
"Thought about it, I'm in.",Darryl,Harsh
"Yeah, he's weird.",Michael,Harsh
nan,Michael,Harsh
Where are you going?,Michael,Harsh
Hey David- I'm sorry. I'm sorry. I'm eating tiramisu. Some of the chocolate powder just went down my throat. I'm stopping now.,Michael,Harsh
How long does it take to get the results?,Pam,Harsh
"Yep, get it.",Michael,Harsh
Michael... you shouldn't be with someone who doesn't make you happy.,Pam,Harsh
Idiot.,Dwight,Harsh
I've been craving a freezing cup of old coffee. Mmm‚ .,Meredith,Harsh
No... Jim---,Michael,Harsh
"Only if he fails. And you know what? Ryan, I believe in you. Just like I believe in all of you. You have nine days to save everybody's money.",Michael,Harsh
"Well, yeah, I mean, what is...",Michael,Harsh
Hmmm.,Michael,Harsh
And this is Sam.,Michael,Harsh
No.,Michael,Harsh
"Dunder Miff...Michael Scott Paper Company, this is Pam. Oh, hi Russell from the pancake luncheon, how are you? Well we'd like to do business with you too! How can we make that happen?",Pam,Harsh
"No, um... I have.",Michael,Harsh
"Ok, I have a question. Why is the truck so far away?",Michael,Harsh
"There's Andy, he's in his car. You guys, what is he doing?",Oscar,Harsh
"Oh, this whole place used to be a brothel. There was a tavern on the ground floor.",Creed,Harsh
Michael.,Dwight,Harsh
"Chicken piccata, salad on the side please.",Oscar,Harsh
What's a dis... what's that?,Michael,Harsh
I would make sure that you were dead.,Dwight,Harsh
"I can untie any knot. I'm serious. Name a knot, any knot. Go ahead.",Michael,Harsh
Welcome.,Jim,Harsh
Do you know?,Pam,Harsh
"That was weird, huh? It's all part of the presentation. It was confusing, right? Because confusing situations happen to us all the time in our jobs. I'm just trying to bridge the gap between what just happened and the fact that I'm going to be doing the rest of the presentation. Sales is like a box a chocolates, you never know which vendor you're gonna get. Forrest Gump.",Michael,Harsh
"I can't do this. I don't have this sales gene, or whatever it is. Tell me everything is going to be ok.",Pam,Harsh
"Because he'd be intimidated and I, just... let's start again. Just be more scared of me, okay?",Pam,Harsh
Dallas indeed.,Michael,Harsh
Yes!,Pam,Harsh
Rocka doopa deepa do POW! Shacka do DO! Oh! What's Dwight up to? Oh probably nothing. Racka do do dee do-do do-do! Sha-KA!,Andy,Harsh
Thank you.,Michael,Harsh
"Well he's had a pretty good season so far--- Stop saying ""we."" You did not go to Cornell. Okay, you're just doing this to screw with me.",Andy,Harsh
Holly and I are like Romeo and Juliet. And this office is like the dragon that kept them apart.,Michael,Harsh
Of course.,Pam,Harsh
"I just got off the horn with David Wallace, and he said that you and I should try to get to know each other better. And I agree, so what I would like you to do is tell me something that you've never told anybody before.",Michael,Harsh
Oh.,Pam,Harsh
Happy birthday!,Michael,Harsh
Who is?,Michael,Harsh
You never update it.,Angela,Harsh
"Well, this...",Michael,Harsh
No. We heard that about Jim.,Stanley,Harsh
Field Trip.,Michael,Harsh
"Oh, um... Jan wants you to call her.",Pam,Harsh
"Hey, Michael.",Pam,Harsh
Us.,Michael,Harsh
"Yeah, it makes me sick.",Michael,Harsh
"I can’t. I love them all too much. And, none of them fly. So that makes it harder.",Angela,Harsh
Fine.,Angela,Harsh
Unh! Damn it!,Michael,Harsh
"Oh, hi!",Pam,Harsh
Are you stoned?,Oscar,Harsh
"Last year, he walked 18 miles.",Pam,Harsh
"Well, we're here. Perfect.",Michael,Harsh
"Dwight, I swear, we didn’t do anything.",Pam,Harsh
You'd look like an angel. I'm seriously going to cry.,Michael,Harsh
Thank you.,Pam,Harsh
"Good, you take the lead on this one. Also, do not forget that he has just gone through a messy divorce.",Michael,Harsh
This is what you want?,Michael,Harsh
"A, that's what she said, and B, I wanted it to be impressive. The biggest day of the year deserves the biggest tree of the year.",Michael,Harsh
"Uh, Jan, what happened?",Michael,Harsh
Jim was supposed to collect it.,Michael,Harsh
"I think she got it as a tip, but I don’t know why she didn’t just take cash.",Oscar,Harsh
I brought them from home! Do you have a red?,Pam,Harsh
"Stanley, are you listening to music?",Phyllis,Harsh
"It wasn't. It wasn't that much. It was $3,000.",Michael,Harsh
Not my urine.,Dwight,Harsh
"Oh, yeah right.",Michael,Harsh
"Hey, grandma's back.",Michael,Harsh
Um. He sticks to his guns.,Ryan,Harsh
That won't be necessary.,Michael,Harsh
"Well, it depends. I mean, sometimes I find out things that are really sad.",Michael,Harsh
Awesome blossom.,Andy,Harsh
"Yeah, but can I say that I'm it, just for today?",Michael,Harsh
"Hey, look at me, I’m a baby! I’m one of those babies from “Look Who’s Talking.” What am I thinking? Look at all those staplers! What’s a stapler!? I don’t even know, I’m a baby! Hey, Mom, I’m thirsty! I’m thirsty, Mama! I want some milk. And you know where milk comes from! Breasts.",Andy,Harsh
Exactly. Are you sure you're doing that right? Taking an awfully long time.,Michael,Harsh
I'm confused...,Pam,Harsh
Ow.,Michael,Harsh
"ItĂ˘â‚¬â„˘s just up and down, just a regular nod, like a person.",Michael,Harsh
Are you kidding me?,Pam,Harsh
"I just did, like, 35 minutes on the treadmill.",Michael,Harsh
Idiot.,Kelly,Harsh
Yep.,Michael,Harsh
Shut up.,Michael,Harsh
"So elephant in the room, I have your old job.",Andy,Harsh
About Julie?,Pam,Harsh
Jim said that?,Pam,Harsh
ŌĆ£Buy me some peanuts and cracker jacks!ŌĆØ,Michael,Harsh
"How about this one - 'When arrogant salesmen are mean to my face, a certain manager will go to his moppy place.'",Pam,Harsh
"Thank you. All right, when we get a call I'll come back and you'll do the smile.",Jim,Harsh
"Thanks, Brian.",Dwight,Harsh
Is that a sumo suit?,Jim,Harsh
"I know, 'cause you have no role models. How many Indian CEO's can you think of?",Michael,Harsh
Cupcake. It's cupcakes and strippers all the way down.,Michael,Harsh
Here I go again on my own. Going down the only road I've ever known...,Ryan,Harsh
Whoa. the lights are still on.,Michael,Harsh
Cancel. We’re canceling it.,Michael,Harsh
Too late.,Michael,Harsh
Ooo! 16 types of espresso! Now that’s Italian.,Michael,Harsh
Can I please leave? I have a rape flute.,Michael,Harsh
When are we getting to sales topics?,Jim,Harsh
You are toxic! You are toxic!,Angela,Harsh
"Would you be able to do the same design, but with walls of gray? And a top that's gray too? Fabulous.",Michael,Harsh
Check it out.,Jim,Harsh
Take six.,Oscar,Harsh
OK.,Michael,Harsh
Feels good.,Michael,Harsh
"No six after the eight, no….",Michael,Harsh
Andy bought lunch.,Pam,Harsh
"Oh, yeah. Yes!",Michael,Harsh
"Mm, no...",Pam,Harsh
What do you think is on it?,Pam,Harsh
"Works in accounting. This is uh, concierge Marie...",Oscar,Harsh
"Okay, Dwight. Let me explain something to you. I set the rules and you follow them. Blindly. Okay? And if you have a problem with that then you can talk to our complaint department. It's a trash can.",Michael,Harsh
"Yeah, but I haven't told you my salary yet.",Ryan,Harsh
"Women in the workplace... yeah, translation ""I have been banned from my own conference room so that Jan can talk in secret to all the girls."" Oh! Sorry. 'Women of the workplace.' About what? I don't know. Clothes. Me. Eeegkh!",Michael,Harsh
"Ohh, god.",Michael,Harsh
I'm on the phone. I'm on the phone.,Michael,Harsh
You know it. I am never getting married.,Michael,Harsh
"Giggle-giggle, juji-juji, I get it, I get it. Divine Secrets of the Ya Ya Sisterhood over here right? So how's that uh, coffee from earlier?",Michael,Harsh
I can play.,Pam,Harsh
Darryl.,Michael,Harsh
No. Nope. Nope nope nope. Stay away.,Michael,Harsh
This is the hardest thing I've ever had to do in my entire life. I haven't had a very hard life.,Michael,Harsh
I don’t want to appear ungrateful for everything Sabre’s doing for us.,Andy,Harsh
GIVE ME THE JOB! GIVE ME THE JOB!,Dwight,Harsh
What happened?,Pam,Harsh
"Alright, yeah fine so whatever...",Michael,Harsh
Oh and thanks for the tip on the concerige. That was great. That was great. That was--- that was a---,Kevin,Harsh
"OK, here are your character cards. Take one, pass it down. Here is your prop box, some of your characters will have props. Now, on your character card, it tells you who you are, and what your alibi is. Everything else is up to your imagination. So, if you talk slowly in real life, your character could, say, have been kicked in the head by a horse.",Michael,Harsh
I cannot believe a pipe burst and left that in there.,Angela,Harsh
Are we ready?,Jim,Harsh
You have a brother?,Pam,Harsh
"OK. Three hundred boxes of twenty pound white. That’s seventy-five boxes per person, so that’s not so bad.",Michael,Harsh
"Oh. I was joking about that whole Bund thing. Oh ho, the look on your faces! Hahhahahahahah! Hahahahahah!",Andy,Harsh
Let's do this thing.,Michael,Harsh
That's what being a good captain is about. It's about listening to the members of your team.,Michael,Harsh
Well...,Kevin,Harsh
Do you know if she’s looking for a long-term thing or if she’d be cool just hangin’ out?,Michael,Harsh
Okay.,Michael,Harsh
Like that?,Pam,Harsh
My first order of business: accept.,Michael,Harsh
"Oh, oh OK.",Pam,Harsh
Probably went to his head.,Angela,Harsh
"Okay, I believe you, I believe you.",Angela,Harsh
"No, we talked about not bringing them in to Dwight’s photo studio slash trap.",Angela,Harsh
Yeah!,Michael,Harsh
Well –,Pam,Harsh
"Hey! It sounds like you guys are having a lot of fun, but it’s really loud, and some of us are trying to work, so do you think you could do it a little more quietly?",Jim,Harsh
"I was going to, I wanted to. But I had to start somewhere.",Michael,Harsh
"My parents are used to a certain type of class. The people that I work with are a different type of class. One is not better than the other, it’s just that maybe one’s a little higher than the other?",Andy,Harsh
Let me check. Oh nope! Clearly a hunter. Who knows how to throw an outfit together.,Dwight,Harsh
"Excuse me, Mr. Wallace?",Michael,Harsh
Right back at ya.,Michael,Harsh
"Under this tree, I think I struck the mother load. Those are nature’s best mushrooms. Wild, and I have to say these little buggers are damn tasty as well.",Michael,Harsh
Yep.,Michael,Harsh
"Yeah, you.",Jim,Harsh
Why?,Michael,Harsh
My night was just like that. Meaning normal.,Jim,Harsh
"Okay, good-bye. Wait! Wait! Karen, could you transfer me to one of your salespeople please? Your best one?",Michael,Harsh
"No, that's cool. Sometimes... sometimes I run. I'm a runner.",Michael,Harsh
"I'm your son now; you can visit him on holidays. Dwight Schrute, I'm a paper salesman at a second tier paper company called Dunder Mifflin. I'm the top salesman there and I'm looking for a new challenge. I would say you guys have what, 40 high full volume clients?",Dwight,Harsh
"No, I think he came early just so he could wear these. Thank you.",Pam,Harsh
I’m in.,Michael,Harsh
One time we had an ethnic festival in Scranton. One time.,Pam,Harsh
Why?,Pam,Harsh
Drink it!,Michael,Harsh
"Yeah, but you’re not gay. You’re not gay.",Michael,Harsh
OK.,Jim,Harsh
No it's not.,Michael,Harsh
You have a brother?,Pam,Harsh
This guy does it all.,Kelly,Harsh
"Okay yes, first name of that animal and the second name is the state where Helena is the capital.",Oscar,Harsh
"Nothing wrong with this stuff. At all. This is fine. You know what. Gay porn, straight porn, it's all goooooood! I don't particularly get into this. But uh, you know what. I totally see the merit! And actually... it is quite beautiful.",Michael,Harsh
Okay-- just-- don't ever date a member of my family again.,Pam,Harsh
I think it should be Darryl.,Michael,Harsh
"Mmmhmmm. It’s true. Darryl, I have one last wish. I would like to use the bailer.",Michael,Harsh
Where is she?,Michael,Harsh
"Of all of the vermin in God’s great green kingdom, lice are the ones I detest the most. My first day of school, I had lice, and no one would play with me. For 15 years, they called me freak and four eyes and sci-fi nerd and girl puncher. All because I had lice when I was 7.",Dwight,Harsh
"Well, yeah, but you don't need the brochure. The brochure is up here and it's in here.",Michael,Harsh
Andy also hired a management consultant today. Oh no.,Pam,Harsh
Alright.,Michael,Harsh
Define scorched earth policy.,Jim,Harsh
Bop bop de Bope bop bop bop bop bop. You only have me for a limited time... Yes.,Michael,Harsh
"No, Dwight! Dwight, Jim is sitting next to me. You're gonna sit in the back left where I don't have to see your ugly moongob.",Michael,Harsh
"Um... Whoa. Michael Scott here. Yes, I am regional manager of this orifice. Mmm hmm. Dwight Schrute is amazing. Yeah. No, he is actually the single greatest employee of his generation. Mm hmm. You know what? I'm gonna tell you what. You hire Dwight K. Schrute, and if he does not meet, nay, exceed every one of your wildest expectations, well then, you can hold me, Michael Gary Scott, personally and financially responsible. Okay. Okay. Okay-kay-kay-kay-kay. Okay.",Dwight,Harsh
No! The hill’s a trap. Let’s take the dirt road off to the side.,Michael,Harsh
"Man, I worked hard. I worked so hard for this! I was after corporate constantly. I emailed Joe. I wrote letters. And, know who I end up owing this to is the Scranton strangler. Thank you. Thank you, Scranton strangler. I love you! You just took one more person’s breath away.",Ryan,Harsh
That's pretty good.,Pam,Harsh
I broke it.,Michael,Harsh
I am the captain.,Phyllis,Harsh
Alright. Don’t get a swelled head. You’re no tracker. Let’s ride.,Michael,Harsh
What's up spinsters?,Andy,Harsh
I do? Well--Where is that bowl?,Michael,Harsh
This way to the party bus. Good.,Michael,Harsh
Mmm hmm.,Pam,Harsh
Bow down before Recyclops.,Michael,Harsh
We have missiles too.,Michael,Harsh
I need to have her say…,Andy,Harsh
Great.,Andy,Harsh
No! Oh my God!,Michael,Harsh
"Woo, well, this brings us to Jan. Truth or Dare? Tell us about your divorce. Ohh, ohh.",Michael,Harsh
Cool.,Pam,Harsh
All right!,Pam,Harsh
Dale Raymond Corson!,Michael,Harsh
Right. Now.,Jim,Harsh
Yeah…,Michael,Harsh
"Sure you do, Dwight. Sure.",Jim,Harsh
Forget it. I was just about to brag but forget it.,Michael,Harsh
"Coming through. Che, che, che, che, che, che. Excuse me. Excuse me. Excuse me. Excuse me. Ah. Damn it. Wha- okay",Michael,Harsh
Good work.,Michael,Harsh
This is great. Oh.,Pam,Harsh
"Phillies fan, though, right?",Michael,Harsh
"Yes, definitely.",Ryan,Harsh
I have terrible news. Someone defaced my mural. They painted all over it.,Andy,Harsh
Ssshh stupid! Um...,Michael,Harsh
I just need a moment to consider your offer. Excuse me.,Michael,Harsh
"Don’t what’s up us! You think you’re so cute, with your pretty blonde hair!",Michael,Harsh
"Everybody, may I have you attention please? Today, we are not just spending a day at the beach.",Michael,Harsh
"No, I mean Afghanistanis with AIDS.",Michael,Harsh
"Uh, yeah.",Jim,Harsh
"Mm, that sounds great, actually.",Dwight,Harsh
"No, it doesn’t have to just be cow stuff, right?",Pam,Harsh
"Knock it off, okay, I’m interviewing you.",Dwight,Harsh
Could I?,Pam,Harsh
"""Applicant is attempting to blackmail interviewer, showing low moral character.""",Dwight,Harsh
"No, I’m just testing if he can hear.",Michael,Harsh
"And we are dedicated to providing you with the very best customer service, the very best personal business relationship we can if you ever decide to come back to us.",Jim,Harsh
Really?,Michael,Harsh
How’s everybody doing today?,Michael,Harsh
We'll figure it out.,Michael,Harsh
"Oh, no.",Pam,Harsh
"Wow, that is really interesting.",Pam,Harsh
"Toby, Katy.",Kelly,Harsh
"Sorry, not Jim.",Meredith,Harsh
"Packed with beautiful babies. Swingers. Classic. John Favreau, tall guy from DodgeBall.",Andy,Harsh
Argh!,Dwight,Harsh
I am not an alcoholic!,Michael,Harsh
So how was your date?,Jim,Harsh
I have Jim on the record saying that the vic-,Pam,Harsh
Do you?,Pam,Harsh
"No, I wouldn't. I can't even relate to that impulse. But I bet I could get us a customer complaint. I'd like to try.",Pam,Harsh
What're you still doing here?,Michael,Harsh
What if I back out and you finish the pitch with Jim?,Michael,Harsh
Michael.,Dwight,Harsh
"Dwight, they called your name.",Angela,Harsh
C'est la vie.,Michael,Harsh
Can’t I just agree without putting my hand in?,Ryan,Harsh
Alright.,Michael,Harsh
We will come back at... how is 4:45?,Jim,Harsh
"Hi. I'm Michael Scott. I'm in charge of Dunder Mifflin Paper Products here in Scranton, Pennsylvania but I'm also the founder of Diversity Tomorrow, because today is almost over. Abraham Lincoln once said that, ""If you're a racist, I will attack you with the North."" And those are the principles... Damn it. Okay, sorry. Don't laugh; please don't laugh this time Dwight. You're... it's, it's bugging me. Let me give myself a countdown, ready? Three, two, one.",Michael,Harsh
It's going okay. I've already learned more about beet agriculture than I ever thought I'd know.,Dwight,Harsh
"I'm sorry, I was told I had the floor.",Pam,Harsh
"Really? Aw, that is so sweet of you! But, I cannot accept, because I have been thinking about it, and I think I wanna go back to sales.",Pam,Harsh
"Well, now I think I might not.",Pam,Harsh
"Well, apparently, my insurance will not be covering this hospital stay. I will be paying out-of-pocket. Um... I kinda wish I'd been hit by a car.",Michael,Harsh
Andy bought lunch.,Phyllis,Harsh
I don't mind if I do.,Pam,Harsh
So what’s your crazy business pipe dream?,Pam,Harsh
"Jim set up a job interview for me today in Philly. It’s um, with a real estate company, which is a great fit for me because I live in a house and I know what a bathroom is. I’m sorry, I am just very nervous because honestly this is all moving a lot faster than I expected. And, and because my resume can fit on a post-it note.",Pam,Harsh
nan,Michael,Harsh
Come on. What's your wife's name? Where did you work before you came here?,Jim,Harsh
It was my understanding.,Ryan,Harsh
"Hey, everybody, I changed my mind. Not leaving. I’m gonna stay on in sales.",Pam,Harsh
"Oh, I think you can, Big Tuna. Tell me about that Indian chick, Kelly. She seems pretty slutty. Good for a romp in the sack.",Andy,Harsh
No! No!,Michael,Harsh
Oh God! What?!,Michael,Harsh
Like what?,Michael,Harsh
What’s going on?,Michael,Harsh
"So there was a little bit of a miscommunication here today. It’s been a little wild, uh, but I am on it.",Pam,Harsh
"Duuudes, stop.",Meredith,Harsh
"When I was a kid, my grandmother used to make me chocolate cake when I wasn’t feeling good. She’s not around to do that anymore. I’m sorry, I just need a moment to myself just to clear my head.",Michael,Harsh
